nivel_entidad,codigo_entidad_en_secop
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,117002002
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,117002002
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
TERRITORIAL,205001222
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
NACIONAL,115001006
